Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Conceded_Count,Total_Matches,Goal_Match_Count,Conceded_Match_Count,Match_With_Goal_Count,Goals_Scored_Avg,Goals_Scored_Stdev,Goals_Conceded_Avg,Goals_Conceded_Stdev,H1_Goals_Avg,H1_Goals_Stdev,H2_Goals_Avg,H2_Goals_Stdev,H1_Conceded_Avg,H1_Conceded_Stdev,H2_Conceded_Avg,H2_Conceded_Stdev
,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,1016,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,1016,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
,HOME,1,0.0,0.0,0.0,0.0,0.0,0,0,300,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
,HOME,2,0.0,0.0,0.0,0.0,0.0,0,0,300,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
% Points per game,HOME,1,0.0,0.0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
% Points per game,HOME,2,0.0,0.0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-9,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-9,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,74,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,74,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 - 0,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 - 0,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 - 1,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 - 1,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 - 2,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 - 2,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 pt,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,46,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 pt,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,46,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 pt,HOME,1,0.0,0.0,0.0,0.0,0.0,0,0,46,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0 pt,HOME,2,0.0,0.0,0.0,0.0,0.0,0,0,46,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0%,AWAY,1,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0%,AWAY,2,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
07 Vestur,AWAY,1,0.15841584158415842,1.5920595043359824,0.1584158415841584,0.0,0.0,0,2,13,0,2,2,0.0,0.599144689515278,0.15384615384615385,1.0681880176381127,0,0,0,0,0,0,0,0
