Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Conceded_Count,Total_Matches,Goal_Match_Count,Conceded_Match_Count,Match_With_Goal_Count,Goals_Scored_Avg,Goals_Scored_Stdev,Goals_Conceded_Avg,Goals_Conceded_Stdev,H1_Goals_Avg,H1_Goals_Stdev,H2_Goals_Avg,H2_Goals_Stdev,H1_Conceded_Avg,H1_Conceded_Stdev,H2_Conceded_Avg,H2_Conceded_Stdev,Recurrence,Total_Buts
Al Nassr,HOME,2,74.5,12.712635883683252,4.020088445682645,69.75,80.5,7,0,5,5,0,5,1.4,1.224744871391589,0.0,0.0,0,0,0,0,0,0,0,0,1.0,7
FC Koln,HOME,2,71.2,18.504053609952603,5.851495535331117,52.25,88.25,6,3,6,4,3,6,1.0,1.2110601416389966,0.5,0.408248290463863,0,0,0,0,0,0,0,0,1.0,9
Bayern Munich,AWAY,2,74.15384615384616,14.35761211486874,3.982085128721709,66.0,84.0,8,3,6,5,3,6,1.3333333333333333,1.3291601358251257,0.5,0.816496580927726,0,0,0,0,0,0,0,0,1.0,11
Stuttgart,AWAY,2,69.88888888888889,15.46321800632427,5.15440600210809,55.0,81.0,4,6,7,4,4,7,0.5714285714285714,0.951189731211342,0.8571428571428571,1.1547005383792517,0,0,0,0,0,0,0,0,1.0,10
Achnas,AWAY,2,61.5,12.020815280171307,8.499999999999998,57.25,65.75,0,7,6,0,6,6,0.0,0.5163977794943223,1.1666666666666667,0.8944271909999159,0,0,0,0,0,0,0,0,1.0,7
Pogon Szczecin,HOME,2,81.875,14.186890326736764,5.0158231769927,82.5,89.25,7,4,9,6,3,8,0.7777777777777778,0.7817359599705717,0.4444444444444444,1.0929064207170005,0,0,0,0,0,0,0,0,0.8888888888888888,11
Metz,AWAY,2,72.25,15.129992289048486,7.564996144524243,63.75,81.5,2,10,8,2,6,7,0.25,0.5345224838248488,1.25,1.4142135623730951,0,0,0,0,0,0,0,0,0.875,12
Zbrojovka Brno,HOME,2,74.4,17.4241212116996,5.509990925582363,62.5,90.0,6,2,8,6,2,7,0.75,1.035098339013531,0.25,0.4629100498862757,0,0,0,0,0,0,0,0,0.875,8
Marseille,HOME,2,79.33333333333333,8.499554355519132,2.453609997575413,72.75,88.5,7,3,7,4,3,6,1.0,1.7043362064926937,0.4285714285714285,0.5345224838248488,0,0,0,0,0,0,0,0,0.8571428571428571,10
Genoa,AWAY,2,85.33333333333333,4.041451884327381,2.333333333333333,83.0,86.5,3,3,7,3,3,6,0.4285714285714285,0.5345224838248487,0.4285714285714285,0.5345224838248488,0,0,0,0,0,0,0,0,0.8571428571428571,6
