Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches
ADO Den Haag,HOME,1,29.25,13.438749941865872,3.359687485466468,20.25,38.5,16,6
ADO Den Haag,HOME,2,69.0625,14.415125158434572,3.603781289608643,56.5,79.0,16,8
ADO Den Haag,AWAY,2,70.8695652173913,14.5111378785278,3.0257814120426474,61.5,83.5,23,9
ADO Den Haag,AWAY,1,25.22222222222222,13.935366677789446,4.645122225929815,8.0,32.0,9,6
Almere City,AWAY,1,23.5625,9.230158900762941,2.3075397251907352,15.75,31.0,16,7
Almere City,AWAY,2,73.86666666666666,16.970001543339716,4.381635557497925,59.0,88.5,15,9
Almere City,HOME,2,71.0,14.467204291085407,3.1570027980137536,56.0,85.0,21,9
Almere City,HOME,1,27.583333333333332,11.657680521935534,3.3652824937330688,19.0,35.0,12,6
Cambuur,AWAY,1,30.58823529411765,12.114344924145774,2.938160218083423,21.0,40.0,17,8
Cambuur,HOME,1,24.928571428571427,12.362874234604966,3.3041171215476366,15.0,33.5,14,7
Cambuur,HOME,2,71.29411764705883,14.898677398859743,3.6134600351471353,55.0,84.0,17,7
Cambuur,AWAY,2,71.41666666666667,13.297014930449842,3.8385175747568447,63.5,80.75,12,5
De Graafschap,HOME,1,16.2,12.341567392932136,3.186578998594843,6.0,22.5,15,7
De Graafschap,HOME,2,66.875,13.812434011908739,3.4531085029771846,57.0,77.25,16,7
De Graafschap,AWAY,2,73.14285714285714,14.66475178974895,3.9193197756657527,61.0,86.75,14,9
De Graafschap,AWAY,1,28.933333333333334,15.18206962489759,3.9199935212126564,17.0,42.0,15,8
FC Den Bosch,HOME,1,22.25,12.121642237185347,2.710481604127906,15.0,33.25,20,8
FC Den Bosch,HOME,2,73.38888888888889,14.745443519106619,3.47553436798784,64.5,86.0,18,8
FC Den Bosch,AWAY,1,28.72222222222222,12.422965240210452,2.9281209879325263,21.75,37.25,18,8
FC Den Bosch,AWAY,2,72.17647058823529,14.072292342212974,3.4130322189126256,60.0,86.0,17,9
FC Dordrecht,HOME,1,17.875,13.994259026982663,4.947717727830248,4.0,27.25,8,6
FC Dordrecht,AWAY,2,74.4,16.52184700847422,4.2659225541604995,60.5,88.0,15,8
FC Dordrecht,HOME,2,66.0909090909091,11.527831933668581,3.475772106386895,57.5,75.5,11,6
FC Dordrecht,AWAY,1,23.9,13.843971812870597,4.377848279184143,12.25,32.5,10,6
FC Eindhoven,HOME,2,77.5625,10.935987990727373,2.7339969976818432,68.75,86.25,16,9
FC Eindhoven,AWAY,2,70.06666666666666,15.604333952310753,4.029021701730567,54.5,86.5,15,6
FC Eindhoven,AWAY,1,22.4,14.423745853433651,4.561188928825953,10.0,31.75,10,6
FC Eindhoven,HOME,1,26.923076923076923,17.370768254271017,4.817784279613557,5.0,40.0,13,5
FC Emmen,AWAY,2,71.5,14.350866469347856,3.208951296148421,57.25,81.75,20,9
FC Emmen,AWAY,1,18.714285714285715,10.980502200328935,4.150239727523986,11.0,26.5,7,5
FC Emmen,HOME,1,25.055555555555557,11.079776076640572,2.6115282659403434,15.5,33.5,18,9
FC Emmen,HOME,2,73.36842105263158,16.05618789098593,3.6835421281741647,60.5,90.0,19,9
Helmond Sport,HOME,2,69.17647058823529,13.938414966010516,3.3805621857971384,56.0,79.0,17,8
Helmond Sport,HOME,1,27.846153846153847,10.486866022523554,2.908533320240752,22.0,34.0,13,9
Helmond Sport,AWAY,1,18.625,16.37888449018605,5.790810145640862,5.75,29.75,8,6
Helmond Sport,AWAY,2,74.91666666666667,12.086493839543929,3.4890702359097205,63.5,85.25,12,6
Jong AZ,HOME,1,20.166666666666668,12.0742651448392,3.4855401158199144,12.5,26.5,12,8
Jong AZ,HOME,2,69.26666666666667,13.899982870835625,3.588960144754316,58.5,78.0,15,7
Jong AZ,AWAY,1,21.263157894736842,14.074571654279998,3.228928184980452,8.0,33.5,19,8
Jong AZ,AWAY,2,66.64285714285714,14.610887104417102,3.9049238329687412,56.5,79.5,14,6
Jong Ajax,AWAY,1,17.416666666666668,12.37635820523317,3.5727468706893024,9.75,22.25,12,7
Jong Ajax,AWAY,2,68.70588235294117,14.30806025411181,3.470214336788521,56.0,80.0,17,8
Jong Ajax,HOME,1,17.583333333333332,11.696606604507396,3.37651948585875,8.75,27.25,12,7
Jong Ajax,HOME,2,67.94444444444444,15.501317675384975,3.653695615197202,53.25,80.5,18,8
Jong PSV,HOME,1,27.642857142857142,11.412591850550546,3.0501434714177527,18.75,34.75,14,8
