Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches,Recurrence
Greuther Furth,AWAY,2,73.875,14.507307004462929,2.961291641903208,62.75,88.5,24,7,3.4285714285714284
Aurora,AWAY,2,72.28947368421052,14.403280209611491,2.336520584547764,59.25,85.75,38,12,3.1666666666666665
Marseille,HOME,2,77.66666666666667,12.044036845236391,2.838806708709096,70.5,90.0,18,6,3.0
Lille,HOME,2,78.73333333333333,13.915390588772391,3.5929384004191265,71.5,90.0,15,5,3.0
Lorient,HOME,2,69.71428571428571,16.171403331630984,3.528889517183812,53.0,86.0,21,7,3.0
Metz,AWAY,2,74.19047619047619,15.516504270031469,3.3859788256440337,64.0,86.0,21,7,3.0
Septemvri Sofia,AWAY,2,72.57142857142857,15.480863763277,3.3782014294531324,55.0,85.0,21,7,3.0
FC Koln,HOME,2,70.86666666666666,15.918841786057296,4.110227275220709,57.5,83.5,15,5,3.0
Toulouse,HOME,2,67.4,15.467939192314628,3.993804726132237,53.0,81.5,15,5,3.0
Burnley,AWAY,2,76.35,13.136029200557326,2.93730542468684,64.5,90.0,20,7,2.857142857142857
