# TOP 31-45+
Team,Context,Goal_Count,Total_Matches,Recurrence
Leverkusen,AWAY,15,5,3.0
Wolverhampton,HOME,14,5,2.8
Bayern Munich,HOME,19,7,2.7142857142857144
E. Frankfurt,AWAY,16,6,2.6666666666666665
ADO Den Haag,HOME,16,6,2.6666666666666665
FC Eindhoven,HOME,13,5,2.6
TOP Oss,AWAY,18,7,2.5714285714285716
Dynamo Dresden,HOME,15,6,2.5
FC Den Bosch,HOME,20,8,2.5
Brest,HOME,12,5,2.4
AVS,AWAY,12,5,2.4
Roda JC,HOME,12,5,2.4
Kaiserslautern,HOME,12,5,2.4
Jong AZ,AWAY,19,8,2.375
Aurora,AWAY,26,11,2.3636363636363638
RB Leipzig,AWAY,14,6,2.3333333333333335
Almere City,AWAY,16,7,2.2857142857142856
FC Den Bosch,AWAY,18,8,2.25
Tottenham,AWAY,11,5,2.2
Preuss. Munster,AWAY,11,5,2.2
West Ham Utd,HOME,11,5,2.2
Hannover 96,AWAY,13,6,2.1666666666666665
Sporting Braga,AWAY,13,6,2.1666666666666665
Nice,AWAY,13,6,2.1666666666666665
The Strongest,HOME,28,13,2.1538461538461537
De Graafschap,HOME,15,7,2.142857142857143
Cambuur,AWAY,17,8,2.125
Vitesse Arnhem,HOME,17,8,2.125
U. de Vinto,HOME,19,9,2.111111111111111
Always Ready,HOME,23,11,2.090909090909091

# TOP 75-90+
Team,Context,Goal_Count,Total_Matches,Recurrence
Greuther Furth,AWAY,24,7,3.4285714285714284
Aurora,AWAY,38,12,3.1666666666666665
Marseille,HOME,18,6,3.0
Lille,HOME,15,5,3.0
Lorient,HOME,21,7,3.0
Metz,AWAY,21,7,3.0
Septemvri Sofia,AWAY,21,7,3.0
FC Koln,HOME,15,5,3.0
Toulouse,HOME,15,5,3.0
Burnley,AWAY,20,7,2.857142857142857
Newcastle Utd,HOME,17,6,2.8333333333333335
Real Oruro,HOME,34,12,2.8333333333333335
Rio Ave,AWAY,14,5,2.8
Guabira,AWAY,36,13,2.769230769230769
Always Ready,HOME,36,13,2.769230769230769
I. Petrolero,AWAY,33,12,2.75
Always Ready,AWAY,22,8,2.75
Jong Utrecht,HOME,19,7,2.7142857142857144
Bolivar,HOME,35,13,2.6923076923076925
Bournemouth,AWAY,16,6,2.6666666666666665
Magdeburg,HOME,16,6,2.6666666666666665
The Strongest,HOME,32,12,2.6666666666666665
Jong PSV,AWAY,24,9,2.6666666666666665
Monaco,AWAY,16,6,2.6666666666666665
SA Bulo Bulo,AWAY,37,14,2.642857142857143
Vitesse Arnhem,AWAY,21,8,2.625
Le Havre,AWAY,13,5,2.6
Manchester City,AWAY,13,5,2.6
Beroe,AWAY,13,5,2.6
Bayern Munich,AWAY,13,5,2.6
